id,state,abbr,married,less_education
1,Alabama,AL,47.6,17.4
2,Alaska,AK,48.1,9.7
3,Arizona,AZ,46.8,15.4
4,Arkansas,AR,49.6,16.8
5,California,CA,46.2,19.1
6,Colorado,CO,50.3,10.8
7,Connecticut,CT,47.4,11.6
8,Delaware,DE,46.8,13.4
9,District of Columbia,DC,27.5,12
10,Florida,FL,45.8,14.6
11,Georgia,GA,46.3,16.4
12,Hawaii,HI,49.3,9.7
13,Idaho,ID,54.6,11.9
14,Illinois,IL,47.4,13.4
15,Indiana,IN,49.1,14
16,Iowa,IA,53,9.6
17,Kansas,KS,52.1,11.1
18,Kentucky,KY,49.6,17.3
19,Louisiana,LA,43.3,18
20,Maine,ME,49.6,9.4
21,Maryland,MD,46.5,11.9
22,Massachusetts,MA,45.8,11.2
23,Michigan,MI,47.6,11.6
24,Minnesota,MN,51.7,9
25,Mississippi,MS,44,19.1
26,Missouri,MO,48.8,12.9
27,Montana,MT,51,8.9
28,Nebraska,NE,52.5,10.5
29,Nevada,NV,44.7,16.7
30,New Hampshire,NH,51.5,8.8
31,New Jersey,NJ,48.6,12.5
32,New Mexico,NM,45.3,17.4
33,New York,NY,44.3,15.2
34,North Carolina,NC,48.4,15.7
35,North Dakota,ND,52.1,9.3
36,Ohio,OH,47.4,12.2
37,Oklahoma,OK,50.1,14.7
38,Oregon,OR,48.5,11.5
39,Pennsylvania,PA,47.7,11.9
40,Rhode Island,RI,44.4,15.1
41,South Carolina,SC,46.6,16.2
42,South Dakota,SD,51.4,10.8
43,Tennessee,TN,48.7,16
44,Texas,TX,49,19.4
45,Utah,UT,56.3,10
46,Vermont,VT,50.1,8.7
47,Virginia,VA,49.9,12.9
48,Washington,WA,50.5,11
49,West Virginia,WV,49.4,16.6
50,Wisconsin,WI,50.6,10.3
51,Wyoming,WY,52.5,8.7
52,Puerto Rico,PR,37.3,27.3
